id,title,price,town,promo_price,url
3226749,Конструктор LEGO Speed Champions Formula E Panasonic Jaguar Racing GEN2 car Jaguar I-Pace eTrophy 76898,3 699,Санкт-Петербург и Ленинградская область,2 949,https://www.detmir.ru/product/index/id/3226749/
3597054,Конструктор LEGO Jurassic World Побег барионикса на катере 76942,7 499,Санкт-Петербург и Ленинградская область,4 769,https://www.detmir.ru/product/index/id/3597054/
3244549,Конструктор LEGO Super Heroes Халкбастер против агента А.И.М. 76164,3 699,Санкт-Петербург и Ленинградская область,2 399,https://www.detmir.ru/product/index/id/3244549/
3244480,Конструктор LEGO DUPLO Башенный кран на стройке 10933,9 999,Санкт-Петербург и Ленинградская область,6 159,https://www.detmir.ru/product/index/id/3244480/
3226652,Конструктор LEGO City Police Ограбление полицейского монстр-трака 60245,4 499,Санкт-Петербург и Ленинградская область,2 859,https://www.detmir.ru/product/index/id/3226652/
3597025,Конструктор LEGO Super Heroes Корабль Чёрной Пантеры «Дракон» 76186,1 799,Санкт-Петербург и Ленинградская область,1 169,https://www.detmir.ru/product/index/id/3597025/
3405534,Конструктор LEGO Jurassic World Побег динозавров: тираннозавр и трицератопс 10939,2 599,Санкт-Петербург и Ленинградская область,1 749,https://www.detmir.ru/product/index/id/3405534/
3596769,Конструктор LEGO Creator Приключения на космическом шаттле 31117,4 499,Санкт-Петербург и Ленинградская область,2 679,https://www.detmir.ru/product/index/id/3596769/
3405533,Конструктор LEGO DUPLO Disney Праздничный поезд Микки и Минни 10941,2 599,Санкт-Петербург и Ленинградская область,1 689,https://www.detmir.ru/product/index/id/3405533/
3405541,Конструктор LEGO Creator Домик на дереве для сафари 31116,2 699,Санкт-Петербург и Ленинградская область,1 659,https://www.detmir.ru/product/index/id/3405541/
3226746,Конструктор LEGO Speed Champions Ferrari F8 Tributo 76895,1 799,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3226746/
3200891,Конструктор LEGO Star Wars Episode IX Шаттл Кайло Рена 75256,11 499,Санкт-Петербург и Ленинградская область,7 929,https://www.detmir.ru/product/index/id/3200891/
3405531,Конструктор LEGO DUPLO Town Конюшня для лошади и пони 10951,2 499,Санкт-Петербург и Ленинградская область,1 619,https://www.detmir.ru/product/index/id/3405531/
3405609,Конструктор LEGO Jurassic World Побег галлимима и птеранодона 75940,5 499,Санкт-Петербург и Ленинградская область,4 949,https://www.detmir.ru/product/index/id/3405609/
3244597,Конструктор LEGO Harry Potter Грохх и Долорес Амбридж 75967,2 799,Санкт-Петербург и Ленинградская область,1 779,https://www.detmir.ru/product/index/id/3244597/
3596786,Конструктор LEGO Friends Волшебная акробатика 41686,1 699,Санкт-Петербург и Ленинградская область,1 039,https://www.detmir.ru/product/index/id/3596786/
3405542,Конструктор LEGO Creator Пляжный домик серферов 31118,4 499,Санкт-Петербург и Ленинградская область,2 919,https://www.detmir.ru/product/index/id/3405542/
3244551,Конструктор LEGO Super Heroes Геликарриер 76153,11 499,Санкт-Петербург и Ленинградская область,6 899,https://www.detmir.ru/product/index/id/3244551/
3244535,Конструктор LEGO City Воздушная гонка 60260,2 499,Санкт-Петербург и Ленинградская область,1 569,https://www.detmir.ru/product/index/id/3244535/
3405577,Конструктор LEGO My City Скейт-парк 60290,2 619,Санкт-Петербург и Ленинградская область,1 499,https://www.detmir.ru/product/index/id/3405577/
3200881,Конструктор LEGO Disney Frozen Деревня в Эренделле 41167,7 499,Санкт-Петербург и Ленинградская область,4 499,https://www.detmir.ru/product/index/id/3200881/
3405641,Конструктор LEGO Star Wars Испытание на Татуине 75299,2 799,Санкт-Петербург и Ленинградская область,1 719,https://www.detmir.ru/product/index/id/3405641/
3244619,Конструктор LEGO Dots Настольный набор 41907,1 759,Санкт-Петербург и Ленинградская область,1 069,https://www.detmir.ru/product/index/id/3244619/
3244531,Конструктор LEGO City Мини-подлодка 60263,749,Санкт-Петербург и Ленинградская область,549,https://www.detmir.ru/product/index/id/3244531/
3596770,Конструктор LEGO Creator Колесо обозрения 31119,8 499,Санкт-Петербург и Ленинградская область,5 319,https://www.detmir.ru/product/index/id/3596770/
3226563,Конструктор LEGO DUPLO Town Игровая комната 10925,1 299,Санкт-Петербург и Ленинградская область,829,https://www.detmir.ru/product/index/id/3226563/
3596747,Конструктор LEGO DUPLO Town Мусоровоз и контейнеры для раздельного сбора мусора 10945,1 499,Санкт-Петербург и Ленинградская область,909,https://www.detmir.ru/product/index/id/3596747/
3405529,Конструктор LEGO DUPLO Town Уход за животными на ферме 10949,749,Санкт-Петербург и Ленинградская область,509,https://www.detmir.ru/product/index/id/3405529/
3405585,Конструктор LEGO City Police Полицейский вертолёт 60275,749,Санкт-Петербург и Ленинградская область,479,https://www.detmir.ru/product/index/id/3405585/
3200890,Конструктор LEGO Star Wars Йода 75255,9 499,Санкт-Петербург и Ленинградская область,5 939,https://www.detmir.ru/product/index/id/3200890/
3405535,Конструктор LEGO Classic Прозрачные кубики 11013,2 599,Санкт-Петербург и Ленинградская область,1 689,https://www.detmir.ru/product/index/id/3405535/
3597052,Конструктор LEGO Jurassic World Скелет тираннозавра на выставке 76940,2 799,Санкт-Петербург и Ленинградская область,2 599,https://www.detmir.ru/product/index/id/3597052/
3405642,Конструктор LEGO Star Wars Имперский истребитель СИД 75300,3 699,Санкт-Петербург и Ленинградская область,2 349,https://www.detmir.ru/product/index/id/3405642/
3244485,Конструктор LEGO Creator Отпуск в доме на колесах 31108,7 499,Санкт-Петербург и Ленинградская область,4 319,https://www.detmir.ru/product/index/id/3244485/
3226711,Конструктор LEGO Ninjago Кибердракон Джея 71711,4 499,Санкт-Петербург и Ленинградская область,3 439,https://www.detmir.ru/product/index/id/3226711/
3405552,Конструктор LEGO Friends Пекарня Хартлейк-Сити 41440,1 599,Санкт-Петербург и Ленинградская область,959,https://www.detmir.ru/product/index/id/3405552/
3620625,Конструктор LEGO Creator Крокодил 31121,2 699,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3620625/
3181585,Конструктор LEGO Marvel Super Heroes Капитан Марвел и атака скруллов 76127,2 499,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3181585/
3226558,Конструктор LEGO DUPLO Грузовик Алфавит 10915,2 499,Санкт-Петербург и Ленинградская область,1 499,https://www.detmir.ru/product/index/id/3226558/
3596783,Конструктор LEGO Friends Лесной клуб верховой езды 41683,6 499,Санкт-Петербург и Ленинградская область,4 089,https://www.detmir.ru/product/index/id/3596783/
3244516,Конструктор LEGO Friends Кафе в парке Хартлейк Сити 41426,1 699,Санкт-Петербург и Ленинградская область,1 129,https://www.detmir.ru/product/index/id/3244516/
3226710,Конструктор LEGO Ninjago Специальный автомобиль Ниндзя 71710,3 599,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3226710/
3620626,Конструктор LEGO Creator Аквариум 31122,2 699,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3620626/
3226693,Конструктор LEGO City Nitro Wheels Гоночные автомобили 60256,1 999,Санкт-Петербург и Ленинградская область,1 219,https://www.detmir.ru/product/index/id/3226693/
3405614,Конструктор LEGO Super Mario дополнительный набор загадочное испытание растения-пираньи 71382,2 699,Санкт-Петербург и Ленинградская область,1 559,https://www.detmir.ru/product/index/id/3405614/
3597028,Конструктор LEGO Super Heroes Перчатка бесконечности 76191,6 999,Санкт-Петербург и Ленинградская область,4 739,https://www.detmir.ru/product/index/id/3597028/
3777766,Конструктор LEGO Super Heroes Новогодний календарь 76196,2 799,Санкт-Петербург и Ленинградская область,2 029,https://www.detmir.ru/product/index/id/3777766/
3244596,Конструктор LEGO Harry Potter Выручай-комната Хогвартса 75966,1 799,Санкт-Петербург и Ленинградская область,1 139,https://www.detmir.ru/product/index/id/3244596/
3099183,Конструктор LEGO City Trains Рельсы 60205,1 499,Санкт-Петербург и Ленинградская область,969,https://www.detmir.ru/product/index/id/3099183/
3405547,Конструктор LEGO Friends Электромобиль Оливии 41443,1 299,Санкт-Петербург и Ленинградская область,749,https://www.detmir.ru/product/index/id/3405547/
3597024,Конструктор LEGO Star Wars Звездный истребитель мандалорцев 75316,5 499,Санкт-Петербург и Ленинградская область,3 569,https://www.detmir.ru/product/index/id/3597024/
3226562,Конструктор LEGO DUPLO Super Heroes Лаборатория супергероев 10921,2 599,Санкт-Петербург и Ленинградская область,1 839,https://www.detmir.ru/product/index/id/3226562/
3777767,Конструктор LEGO Harry Potter Новогодний календарь 76390,2 599,Санкт-Петербург и Ленинградская область,2 079,https://www.detmir.ru/product/index/id/3777767/
3758559,Конструктор LEGO Star Wars TM Штурмовой шаттл Бракованной Партии 75314,9 499,Санкт-Петербург и Ленинградская область,5 939,https://www.detmir.ru/product/index/id/3758559/
3226594,Конструктор LEGO Creator Городской магазин игрушек 31105,3 699,Санкт-Петербург и Ленинградская область,2 679,https://www.detmir.ru/product/index/id/3226594/
3108625,Конструктор LEGO City Trains Железнодорожные стрелки 60238,1 799,Санкт-Петербург и Ленинградская область,1 079,https://www.detmir.ru/product/index/id/3108625/
3226649,Конструктор LEGO City Police Арест на шоссе 60242,1 499,Санкт-Петербург и Ленинградская область,969,https://www.detmir.ru/product/index/id/3226649/
3405573,Конструктор LEGO Dots Брелок Леопард 41929,549,Санкт-Петербург и Ленинградская область,439,https://www.detmir.ru/product/index/id/3405573/
3244509,Конструктор LEGO Friends Спасение тигра на воздушном шаре 41423,3 599,Санкт-Петербург и Ленинградская область,2 339,https://www.detmir.ru/product/index/id/3244509/
3334779,Конструктор LEGO Disney Princess Башня Рапунцель 43187,5 499,Санкт-Петербург и Ленинградская область,3 369,https://www.detmir.ru/product/index/id/3334779/
3405612,Конструктор LEGO Super Mario Твои уровни! Твои приключения! 71380,5 499,Санкт-Петербург и Ленинградская область,3 299,https://www.detmir.ru/product/index/id/3405612/
3244525,Конструктор LEGO Dots Большой набор для создания браслетов 41913,2 199,Санкт-Петербург и Ленинградская область,1 459,https://www.detmir.ru/product/index/id/3244525/
3244585,Конструктор LEGO Ninjago Истребитель Кая 71704,3 599,Санкт-Петербург и Ленинградская область,2 269,https://www.detmir.ru/product/index/id/3244585/
3405569,Конструктор LEGO Dots Брелок Щенок 41927,549,Санкт-Петербург и Ленинградская область,369,https://www.detmir.ru/product/index/id/3405569/
3596790,Конструктор LEGO Friends Киоск на Волшебной ярмарке 41687,2 599,Санкт-Петербург и Ленинградская область,1 639,https://www.detmir.ru/product/index/id/3596790/
618971,Строительная пластина LEGO Classic Серая (10701),1 299,Санкт-Петербург и Ленинградская область,799,https://www.detmir.ru/product/index/id/618971/
3244572,Конструктор LEGO Super Mario Охраняемая крепость 71362,4 699,Санкт-Петербург и Ленинградская область,2 869,https://www.detmir.ru/product/index/id/3244572/
3244473,Конструктор LEGO DUPLO Бульдозер 10930,749,Санкт-Петербург и Ленинградская область,479,https://www.detmir.ru/product/index/id/3244473/
3405590,Конструктор LEGO City Great Vehicles Спортивный автомобиль 60285,749,Санкт-Петербург и Ленинградская область,479,https://www.detmir.ru/product/index/id/3405590/
3405591,Конструктор LEGO City Great Vehicles Пляжный спасательный вездеход 60286,749,Санкт-Петербург и Ленинградская область,479,https://www.detmir.ru/product/index/id/3405591/
3226731,Конструктор LEGO Super Heroes Человек-паук 76146,999,Санкт-Петербург и Ленинградская область,839,https://www.detmir.ru/product/index/id/3226731/
3244515,Конструктор LEGO Friends Цветочный сад Оливии 41425,799,Санкт-Петербург и Ленинградская область,589,https://www.detmir.ru/product/index/id/3244515/
3405608,Конструктор LEGO Jurassic World Лаборатория доктора Ву: Побег детёнышей динозавра 75939,1 799,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3405608/
3475283,Конструктор LEGO City Great Vehicles Автовоз 60305,2 499,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3475283/
3244514,Конструктор LEGO Friends Дом Стефани 41398,3 299,Санкт-Петербург и Ленинградская область,2 139,https://www.detmir.ru/product/index/id/3244514/
3596920,Конструктор LEGO City Wildlife Спасательный внедорожник для зверей 60301,3 799,Санкт-Петербург и Ленинградская область,2 469,https://www.detmir.ru/product/index/id/3596920/
3405583,Конструктор LEGO City Fire Спасательный пожарный вертолёт 60281,2 499,Санкт-Петербург и Ленинградская область,1 619,https://www.detmir.ru/product/index/id/3405583/
